taxon,description
Epilobium parviflorum,"Smaller hairy willowherb  



 Herbs often robust and rank, with short-stalked leafy basal rosettes. Stems erect, terete, 18–100(–160) cm, well branched distally, densely gray-villous proximally, mixed villous and glandular puberulent distally, often with raised strigillose lines decurrent from margins of petioles. Leaves opposite proximal to inflorescence, alternate distally, petioles 1–3 mm proximally, sessile distally; blade narrowly lanceolate or oblong-lanceolate, 3–12 × 0.5–2.5 cm, often exceeding internodes, base rounded to broadly cuneate, margins serrulate, with 15–60 teeth per side, veins 4–8 per side, apex subacute, surfaces ± densely villous, hairs some­times appressed; bracts usually much reduced. Inflorescences erect racemes or often leafy panicles. Flowers erect; buds 3.5–5.5 × 1.8–3 mm; pedicel 3–10 mm; floral tube 1–1.9 × 1.3–2.5 mm, a ring of spreading hairs at mouth within, densely villous and glandular puberulent abaxially; sepals narrowly lanceolate, often keeled, 2.5–6 × 1–1.5 mm; petals usually pink to rose-purple, rarely white, broadly obovate, 4–8.5 × 3–4.5 mm, apical notch 1–4 mm; filaments cream to light purple, those of longer stamens 2–6 mm, those of shorter ones 1–3.5 mm; anthers oblong, 0.8–1.3 × 0.4–0.6 mm; ovary 10–30 mm, mixed villous and glandular puberulent; style white to pink, 2.2–6 mm, glabrous, stigma deeply 4-lobed, 1–1.5 × 2.2–4 mm, lobes 1–1.8 mm, initially erect, later re­curved, surrounded by or barely exserted beyond anthers. Capsules 30–70 mm, surfaces usually glandular puberulent, often mixed villous, rarely glabrescent; pedicel 5–18 mm. Seeds obovoid, 0.8–1.1 × 0.4–0.5 mm, chalazal collar inconspicuous, brown, surface coarsely papillose; coma easily detached, dingy white, 5–9 mm. 2n = 36.
Epilobium parviflorum most closely resembles E. hirsutum, sharing the otherwise unique combination of densely villous pubescence and 4-lobed stigmas, but differs by having smaller flowers, leaves not clasping and/or decurrent on stems, and perennating by rosettes rather than by thick ropy stolons. The two species co-occur throughout most of their range in Eurasia, and although their adventive ranges in North America are quite similar, E. hirsutum has spread much more widely and rapidly."
Epilobium parviflorum,"

Herbs robust, perennial, with short-stalked leafy basal rosettes. Stems 18-100(-160) cm tall, well-branched above, densely gray villous on lower part, mixed above with short glandular hairs, often with raised lines decurrent from margins of petioles. Leaves subsessile or lower ones with petioles 1-3 mm; cauline blade lanceolate-elliptic to narrowly lanceolate or oblong-lanceolate, 3-12 × 0.5-2.5 cm, both surfaces villous, base usually rounded, margin denticulate with 15-60 teeth per side, apex subacute. Inflorescence and flowers erect. Sepals 2.5-6 mm, keeled. Petals bright pink to dark purple, 4-8.5 mm. Stigma deeply 4-lobed. Capsules 3-7 cm, pubescent or rarely glabrescent; pedicels 0.5-1.8 cm. Seeds dark brown, 0.8-1.1 mm, coarsely papillose, with inconspicuous chalazal collar; coma tawny or dull white, detaching easily. Fl. Jun-Sep, fr. Jul-Oct. 2n = 36."
Epilobium parviflorum,"

Erect robust perennial herb, perennating by short-stalked basal leafy rosettes; stems 0.2-1.6 m tall, well-branched, covered with spreading villous hairs, mixed especially on the inflorescence with short gland-tipped hairs, with strigillose hairs on raised lines decurrent from the base of the petioles, the lower stem rarely subglabrous. Leaves narrow lanceolate to narrow ovate, 2.5-12 x 0.5-3.5 cm, villous pubescent, sometimes sparsely so on the upper stem, denticulate, acute at apex, cuneate or rounded at base, subsessile. Inflorescence erect and branched. Flowers erect; ovaries dense villous and glandular pubescent, 1.2-4 cm long, on pedicels 0.2-1.3 cm long. Sepals 2-6 x 1-2.1 mm, acute and keeled, covered with villous and glandular hairs. Petals 3.2-9 x 2.7-4.8 mm, deeply notched, rose-purple to pink, rarely white. Style 2.1-4.8 mm long. Stigma 4-lobed and spreading, often surrounded by dehiscing anthers. Capsule 3.5-8 cm long, covered with villous and glandular hairs, on pedicels 0.6-1.8 cm long. Seeds 0.8-1 x 0.4-0.5 mm, blunt obovoid with rounded base, coarse papillose, the chalazal collar virtually absent; coma 5-6 mm long, dull white, easily detached."
Catabrosa aquatica,"An ascending, rather soft perennial, 5-75 cm. Stem creeping by stolons, rooting at the nodes and often floating. Culms erect or ascending from a bent base, slender to somewhat stout, succulent, unbranched, smooth. Lvs hairless, smooth, bright green; sheaths compressed with free margins, the lower overlapping, tha basal often purplish; ligules 2-8 mm, ovate, obtuse; blades 4-14 cm, by 2-10 mm, equally wide throughout,  smooth, obtuse, soft, folded when young, the lower often floating. Panicle 5-30 cm, ovate to oblong, lax, erect; branches clustered, spreading, very slender; pedicels short; spikelets 3-5 mm of (1-)2(-3) rather distant florets, green, yellow, brownish, often variegated with purple; glumes 1-2.5 mm, hyaline or purplish lower 1/2 length of upper; lemma 2.5-3.5 mm, ovate-oblong, truncate with erose, hyaline tip; palea elliptic, glabrous or sparsely ciliate on the 2 nerves. Anthers 1.5 mm  "
Catabrosa aquatica,"

Perennial, rhizomatous; rhizome stout, creeping. Culms erect, succulent, 20–70 cm tall, unbranched. Leaf sheaths closed up to middle, upper shorter than internodes; leaf blades equally wide throughout, soft, 5–20 cm × 2–8 mm, apex boat-shaped; ligule 2–5 mm, obtuse. Panicle open or loosely contracted at anthesis, ovate to oblong in outline, 10–30 × 4–12 cm; branches whorled, slender, usually obliquely ascending, up to 10 cm, often bare of spikelets in lower part. Spikelets with (1–)2(–3) florets, 2–4(–5.8) mm; glumes obtuse or subtruncate; lower glume ovate to suborbicular, 0.5–1.2(–2) mm; upper glume broadly elliptic, 1–2(–3) mm; lemma 1.5–3 mm, green becoming brown at maturity, usually glabrous, apex truncate. Anthers 1–2 mm. Fl. and fr. Apr–Aug. 2n = 20.


Catabrosa aquatica is a widespread, polymorphic species of aquatic and marshy habitats, and extreme forms are sometimes accorded separate status, either at specific or infraspecific rank."
Catabrosa aquatica,"

Stoloniferous perennial; cuhms 5-70 cm high, erect or geniculately ascending, slender to somewhat stout, succulent, smooth. Leaf-blades 4-20 cm long, 2-10 mm wide, rather thin. Panicle ovate to oblong, 5-30 cm long, 2.5-10 cm wide, the branches in half whorls of 3-5, successive whorls alternating. Spikelets 3-5 mm long, breaking up at maturity between the lemmas, green, yellow or brown, often variegated with purple; glumes obovate, blunt, the lower 1-1.5 mm long, the upper 1.5-2.5 mm long; lemma (1.5-)2.5-3.5 mm long, smooth or with minute hairs on the nerves.


An aquatic grass with sweet stems and succulent foliage eagerly sought by cattle. Smaller plants with panicles about 6 cm long and purple spikelets have been separated as Catahrosa sikkimensis, but such variants occur sporadically throughout the range of Catahrosa aquatica and are of little taxonomic consequence. Another variant, even less well-marked, has shorter panicle branches (up to 5 cm) and smaller lemmas (1.5-1.7 mm long). It is sometimes separated as var. angusta."
Potentilla supina,"

Herbs annual or biennial. Roots slender, with sparse lateral rootlets. Flowering stems spreading, ascending, or erect, dichotomously branched, 20–50 cm tall, together with petioles pilose or glabrescent. Radical leaves 4–15 cm including petiole; stipules brown, membranous, abaxially pilose or glabrescent; leaf blade 3-foliolate or pinnate with 2–5 pairs of leaflets; leaflets alternate or opposite, sessile, or terminal leaflet shortly petiolulate or subsessile, both surfaces green, oblong or obovate-oblong, 1–2.5 × 0.5–1.5 cm, both surfaces pilose or glabrescent, base cuneate or broadly so, often decurrent and adnate to rachis in apical 1 or 2 pairs of leaflets, margin obtusely serrate, incised serrate, or 2- or 3-parted, apex obtuse or acute; cauline leaves resembling radical ones but pairs of leaflets fewer higher up stem; stipules green, herbaceous, margin entire, serrate, or parted. Inflorescence terminal, corymbose-cymose, with axillary flowers on lower part of flowering stem. Flowers 6–8 mm in diam.; pedicel 0.8–1.5 cm, densely pubescent. Sepals triangular-ovate, apex acute; epicalyx segments oblong-elliptic or elliptic-lanceolate, nearly equaling or slightly longer than sepals, apex acute. Petals yellow, obovate, slightly shorter than sepals, apex emarginate. Style subterminal, base thickened, papillate; stigma dilated. Achenes cylindric, rugose, apex acute. Fl. and fr. Mar–Oct."
Hippuris vulgaris,"A perennial, usually aquatic herb with a stout creeping rhizome from which arise simple, lfy shoots 25-75(-200) cm, if wholly or partly submerged but only 7-20 cm in terrestrial forms. Lvs 1-7.5 cm x 1-3.5 mm, 6-12 in a whorl, linear, sessile, entire, glabrous, with a hard, acute tip; submerged shoots have longer, thinner, more flaccid and more translucent lvs than those of emerged shoots and the internodes are longer and less rigid. Fls small, greenish, sessile in the axils only of the emerged lvs. Stamen 1, with reddish anther, sometimes 0.  Fr ovoid, smooth, greenish. "
Hippuris vulgaris,"

Stems 10-150 cm or longer in running water. Leaves (4-)8-12-whorled, often spreading, lanceolate to linear, 1.5-6 × 0.1-0.2 cm, longest at mid-shoot, margin entire to weakly denticulate, apex somewhat thickened, subacute; submerged leaves longer than emergent leaves. Flowers purplish. Stamens ca. 1.5 mm. Ovary ca. 1 mm. Achene ovoid-ellipsoid, 1.5-2.5 mm, smooth. Fl. Apr-Sep, fr. May-Oct.


The character of leaves spirally arranged seems not to be true for Hippuris spiralis. In fact, in that entity the leaves are whorled but the whorls are oblique. This variation may be caused by twisted shoots, especially in running water. Terminal subshoots are a common variant in H. vulgaris. For these reasons, both H. spiralis and H. vulgaris var. ramificans are treated here as synonyms of H. vulgaris."
Hippuris vulgaris,"

Variable, heterophyllous, wholly or partly submerged. Rhizome creeping, stout. Leaves 6-12 in a whorl, sessile, 6-16 mm long, 1-2 mm broad, entire, glabrous; submerged leaves longer and thinner. Flowers in the axils of short rigid emergent leaves. Anther bilobed. Fruit ovoid, 1.5-2 mm long, 1-1.5 mm broad."
Nuphar pumila,"Rhizome 1-3 cm diam, branched. Floating lvs to 17 x 12.5 cm , with 11-18 lateral veins on each side, broadly oval wth a deep basal sinus and lobes which are more divergent than in N. lutea; submerged lvs similar but smaller than those of N. lutea. Petioles dorsiventrally compressed, ± keeled beneath.  Fls 1.5-3.5 cm diam, sepals 4-5 roundish, yellow persistent. Petals narrowly spathulate, 1/3 as long as sepals. Stamens shorter than the ovary. Stigmatic disk 6-8.5 mm wide, little wider than the top of the ovary with usually 8-10 stigma-rays which reach the ends of the deep ± acute lobes of the margin.  Fr pear shaped, 2-4.5 cm. Seeds 2.4 - 4 mm. Less fragrant than N. lutea. "
Nuphar pumila,"

Rhizomes stout, 1--3 cm in diam. Petiole 20--50 cm, pubescent; floating leaf blade broadly ovate to ovate, seldom elliptic, 6--17 × 6--12 cm, abaxially glabrous to densely pubescent, adaxially glabrous, base cordate and basal lobes remote from each other. Flower 1--4.5(--6) cm in diam. Peduncle 40--50 cm, pubescent. Sepals yellow, oblong to elliptic, 1--2.5 cm. Petals narrowly cuneate to broadly linear, 5--7 mm, apex emarginate. Anthers yellow, 1--6 mm. Stigmatic disc deeply lobed, 4--7.5 mm in diam., rays 8--13(--14). Fruit 1--2 cm in diam. Seeds brown, oblong to ovoid, 3--5 mm. Fl. May--Sep. 2n = 34."
Potamogeton friesii,"An  aquatic perennial. Rhizomes 0. Turions terminal on short lateral branches, prominently ribbed towards base. Stems 20-100 cm, arising from a turion, slender, strongly compressed,  ± simple below, producing numerous very short lfy branches or fascicles of lvs which later develop turions. Submerged lvs 4-6.5 cm x (1.5-)2-3.5 mm, linear, sessile, subacute or blunt and abruptly mucronate, thin, pale green, translucent; longitudinal veins (3-)5(-7); distance between midrib and nearest lateral veins almost twice that of the laterals and between the farther laterals and margin. Floating lvs 0.  Stipules 0.7-1.5  cm, tubular below at first, soon splitting, fibrous-persistent, whitish. Infl bractless,  cylindrical, stout spikes. Fls inconspicuous, hermaphrodite, actinomorphic, hypogynous. Per segs 4; stamens 4, sessile on the claws or the per segs; carpels free; stigma ± sessile. Fr spike 0.7-1.5 cm with 3-4 remote whorls of fruit, stalk 1.5-5 cm, flattened,  somewhat thickened upwards.  Fr 2-3 x 1.5-2 mm,   asymmetrically obovoid, slightly compressed, olive; ventral face strongly convex above, dorsal ± semicircular, bluntly 3-keeled; beak c 5 mm, erect or recurved."
Potamogeton friesii,"

Rhizomes absent. Cauline stems compressed, without spots, 10--135 cm; glands green, greenish brown, or gold, to 0.7 mm diam. Turions terminal or lateral, common, 1.5--5 cm ´ 1.5--4 mm, soft; leaves ± 4-ranked; outer leaves 2--3 per side, base corrugate, apex apiculate to acute; inner leaves reduced, arranged into fan-shaped structure and oriented at 90° angles to outer leaves. Leaves submersed, ± spirally arranged, delicate to rigid, sessile; stipules not persistent, inconspicuous, convolute, free from blade, white, not ligulate, 0.55--2.1 cm, fibrous, coarse, shredding at tip, apex obtuse; blade light green, rarely olive-green to .somewhat reddish, linear, not arcuate, 2.3--6.5 cm ´ 1.2--3.2 mm, base slightly tapering, without basal lobes, not clasping, margins entire, not crispate, apex not hoodlike, acute to apiculate, lacunae absent or 1 narrow row each side of midrib; veins 5--7(--9). Inflorescences unbranched, emersed; peduncles not dimorphic, terminal or axillary, erect or rarely recurved, slightly clavate, 1.2--4.1(--7) cm; spike not dimorphic, cylindric, 7--16 mm. Fruits sessile, olive-green to brown, obovoid, turgid, not abaxially or laterally keeled, 1.8--2.5 ´ 1.2--2 mm; beak erect, 0.3--0.7 mm; sides without basal tubercles; embryo with 1 full spiral. 2n = 26."
Potamogeton friesii,"

Plants annual, submerged in fresh water. Rhizome absent or present. Stems filiform, compressed, sparsely to densely branched; nodal glands present; turions terminal or axillary, composed of 2 or 3 outer leaves and a fan-shaped structure from stipules oriented at 90° to leaves. Stipules 7-25 mm, fused at base, but at upper portion split into 2 remnants, fibrous, creamy white when dry; leaves sessile, linear, 2.3-6.5 cm × 1.2-3.2 mm, (3-)5(-7)-veined, lacunae lacking or 1 narrow row per side of midvein, apex mucronate. Spike with 4-8 flowers, 7-16 mm in fruit. Carpels 4. Fruit obovoid, 1.8-2.5(-3) mm, lacking keel; beak erect, 0.3-0.7 mm. Fl. and fr. Jun-Aug. 2n = 26."
Veronica peregrina,"A glabrous annual, 5-25 cm. Stems erect, simple or with spreading branches. Lvs narrowly oblong to oblanceolate, entire or distantly crenate, tapering at base to short petiole. Infl racemse terminal, long, lax. Pedicels very short. Upper bracts lanceolate, entire, much longer than the fls. Calyx usually 4-lobed, lobes lanceolate, c 6 x as long as pedicel. Corolla 2-3 mm diam, shorter than calyx,   tube very short and rotate 4-lobed limb, the upper lobe largest, blue. Stamens 2. Style � 0.  Capsule glabrous, scarcely emarginate, about as broad as long. "
Veronica peregrina,"

Annuals, 5-25 cm tall, often many branched from base; main stems erect; branches diffuse, entirely glabrous or densely glandular pubescent. Leaves sessile, lower ones oblanceolate, upper narrowly oblong, 1-2.5 cm X 2-6(-8) mm, margin entire or deltoid dentate above middle. Racemes terminal and axillary, elongated, lax, to 20 cm in fruit; bracts alternate, similar to but slightly smaller than leaves. Pedicel less than 2 mm. Calyx 4-lobed; lobes broadly linear to narrowly oblong, 3-4 mm. Corolla white or pale blue, rotate, ca. 2 mm; lobes narrowly oblong to ovate. Stamens shorter than corolla. Capsule obcordate, strongly compressed, 3-4 mm, wider than long, margin short glandular ciliate, apex conspicuously notched. Style 0.2-0.3 mm, included in notch. Seeds ca. 40 per capsule, oblong, flattened, convex on both sides, smooth. Fl. May-Jun. 2n = 52."
Ischaemum rugosum,"

Annual. Culms loosely tufted, erect to decumbent, 20–100 cm tall, often branching, nodes pubescent. Leaf sheaths loose, papery, lightly keeled, glabrous or pilose with scattered tubercle-based hairs, margins ciliate; leaf blades linear-lanceolate, 10–30 × 0.5–2 cm, glabrous or thinly pilose, margins scabrid, base variable, rounded and constricted, or attenuate and sometimes briefly pseudopetiolate, apex acuminate; ligule 2–5 mm. Racemes terminal and axillary, paired, appressed back to back or slightly separated, 3–11(–13) cm; rachis internodes inflated, thickly clavate, ciliate along midline, inner angles glabrous. Sessile spikelet oblong-ovate, 4–6 × ca. 2 mm; lower glume 2-keeled throughout, crustaceous, yellowish and transversely 4–7-ridged below, ridges sharp, mostly continuous, herbaceous above with many anastomosing green veins, keels scabrid, wingless or winged on one side, apex obliquely obtuse; awn of upper lemma 1.2–2 cm. Pedicelled spikelet dorsally compressed, variable in size, often much reduced especially toward raceme apex, awnless; pedicel elongate when spikelet rudimentary."
Ischaemum rugosum,"

Straggling annual; culms 10-100 cm high. Leaf-blades 5-30 cm long, 3-15 mm wide. Inflorescences terminal and axillary, of paired racemes each 3-12 cm long, internodes and pedicels clavate, ciliate. Sessile spikelet oblong-ovate, 4-6 mm long; lower glume coriaceous and transversely ridged below, membranous above, 2-keeled along its length; upper lemma with an awn 15-20 mm long. Pedicelled spikelet resembling the sessile and on a pedicel one-third the length of the internode, or much reduced and on a pedicel equalling the internode."
Eleocharis acutangula,"

Perennials. Stolons slender. Culms erect, pale green, tufted, 30-75 cm tall, (1-)3-4 mm thick, sharply 3-angled, smooth, glabrous, without transverse septa. Leaf sheaths 2 or 3; basalmost sheath brown, glumelike; cauline sheaths tubular, 5-15 cm, base dark red to dark purple, mouth obliquely truncate, apex acute. Spikelet pale green, cylindric, 1.5-4 cm × 3-5 mm, many flowered, apex acuminate. Basalmost glume empty, broadly ovate, amplexicaul for whole spikelet base; fertile glumes laxly imbricate, broadly ovate, ca. 4.5 × 3.5 mm, purplish red puncticulate, medially grayish yellow, subleathery, and with several veins including a conspicuous midvein, margin membranous, apex rounded. Perianth bristles 6, longest ca. 1.5 × as long as nutlet, retrorsely spinulose. Stigmas 3. Nutlet pale yellow, broadly obovoid to obovoid, ca. 2 × 1.5 mm, biconvex, shallowly pitted with 13-15 longitudinal rows of transversely oriented oblong to linear epidermal cells, apex slightly constricted and with a conspicuous annular thickening; persistent style base subdeltoid, not spongy, base ca. 3/5 as wide as nutlet. Fl. and fr. Jun-Sep."
Najas gracillima,"

Stems slightly branched distally, 4.5--48 cm ´ 0.2--0.7 mm; internodes 0.1--3.2 cm, without prickles. Leaves spreading to ascending with age, 0.6--2.8 cm, lax in age; sheath 0.5--1.5 mm wide, apex truncate; blade 0.1--0.5 mm wide, margins minutely serrulate, teeth 13--17 per side, apex acute with 2--3 teeth, teeth unicellular; midvein without prickles abaxially. Flowers 1--3 per axil, staminate and pistillate on same plants. Staminate flowers in distal axils, 1.5--2 mm; involucral beaks 2-lobed, 0.8 mm; anthers 1-loculed, 1.3 mm. Pistillate flowers distal to proximal on plant, 0.5--2.7 mm; styles 0.3--1.5 mm; stigmas 2-lobed. Seeds not recurved, light brown, fusiform, 2--3.2 ´ 0.4--0.7 mm, apex with style situated offat center; testa dull, 3 cell layers thick, pitted; aeroleareoles regularly arranged in 40 longitudinal rows, not ladderlike, 4-angled, longer than broad, end walls raised. 2n = 24, 36."
Najas gracillima,"

Stems 8-20 cm tall, 0.3-0.5 mm in diam. Leaves often in pseudowhorls of 5, ca. 2 cm × 0.3-0.5 mm; sheath 1-2 mm; auricles orbicular to slightly obcordate, short, minutely serrulate with 6 or 7 teeth, upper margin on each side minutely serrulate with 7-11 teeth. Plants monoecious; flowers 1-4 per axil, male flowers in upper axils and female ones throughout. Male flowers elliptic, 1-1.5 mm; spathe with a short neck, with brownish spine cells at apex; anther 1-thecous. Female flowers conspicuous, 2-3 mm; style 1-2 mm; stigmas 2-lobed. Fruit linear-ellipsoid, 2-3 × ca. 0.5 mm. Seeds narrowly ellipsoid, with more than 20 rows of pits; areoles oblong, longitudinally elongated. Fl. and fr. Jun-Aug. 2n = 12, 24."
Sacciolepis indica,"

Annual. Culms slender, weakly ascending from a branching, decumbent base, 20–100 cm tall. Leaf sheaths slightly keeled; leaf blades linear, flat to loosely involute, 5–20 × 0.2–0.5 cm, apex acute; ligule 0.2–0.5 mm. Panicle spikelike, 11–16 × 0.3–0.5 cm, axis glabrous. Spikelets green or purplish green, lanceolate, laterally compressed, 2–2.8 mm, glabrous or papillose-hispid, obtuse; glumes ovate, herbaceous with broad hyaline margins and apex, lower glume 1/3–1/2 spikelet length, 3–7-veined; upper glume 7–11-veined; lower lemma as long as upper glume; palea small and hyaline; upper lemma yellowish, narrowly ovate, 1/2 spikelet length. Fl. and fr. Jul–Nov. 2n = 18."
Poa annua,"An erect or decumbent, loosely to compactly tufted annual or short lived perennial 5-30 cm high. Culms erect, spreading or prostrate, very slender, usually branched near the base, 1-3 noded, smooth with broad flat shining ridges, sometimes rooting at the nodes; lvs green, hairless; sheaths keeled, smooth, thin; ligules membranous, to 3 mm., blades with an abruptly pointed or blunt tip, 1-14 cm by 1-5 mm, folded or opening out, thin, minutely rough on the margins, often transversely wrinkled.  Panicles ± triangular, 1-12 cm, branches in pairs or solitary, spreading, fine, undivided in the lower part, spreading or deflexed after flowering, pedicels 0.3-4 mm; spikelets, long-linear of 3-6 florets,  florets closely imbricate; glumes herbaceous, unequal, boat shaped, acute, margins hyaline, lower 1-, upper 3-nerved;. lemmas ovate, 2-2.5 mm, keeled, membranous 5-nerved, glabrous or pubescent on the nerves towards the base, margins and tip broadly hyaline, nerves not reaching the apex; paleas as long as the lemmas, shortly ciliate on the nerves. Anthers 0.75 mm, unopened, 2-4 times as long as broad. "
Poa annua,"

Annuals, sometimes over wintering, infrequently stoloniferous. Culms loosely tufted, erect or oblique, often decumbent, often geniculate, soft, 6–30(–45) cm tall, smooth, nodes 1 or 2(or 3), 1(or 2) exserted. Leaf sheath slightly compressed, thin, smooth, uppermost closed for ca. 1/3 of length; blade light to dark green, flat or folded, thin, 2–12 cm × (0.8–)1–3.5 mm, margins slightly scabrid, apex acutely prow-tipped; ligules 0.6–3 mm, abaxially smooth, glabrous, apex obtuse, margin irregularly dentate, smooth. Panicle open, moderately congested, broadly ovoid to pyramidal, (1–)3–10 cm, as long as wide; branches ascending, spreading, or a few reflexed, 1 or 2(–3) per node, smooth, longest with usually 3–5 spikelets in distal 1/2. Spikelets ovate to oblong, dark to light green, (3–)4–5.5 mm, florets 3–5, distal fertile florets often female; vivipary absent; rachilla internodes 0.5–1.5 mm, smooth, glabrous, hidden or exposed; glumes unequal, smooth or rarely keeled with hooks, lower glume lanceolate and acute to subflabellate and obtuse, 1.5–2(–3) mm, 1-veined, upper glume elliptic, 2–3(–4) mm, 3-veined, the margin angled; lemmas ovate, 2.2–3.5 mm, apex and margins broadly membranous, intermediate veins prominent, keel and marginal, and usually intermediate, veins villous in the lower 1/2, rarely glabrous throughout; callus glabrous; palea keels smooth, densely pilulose to short villous. Anthers 0.6–1 mm, usually at least 2 × as long as wide, or vestigial. Fl. Apr–May, fr. Apr–Jul. 2n = 28.


Poa annua is easily distinguished from other short-anthered Poa, other than P. infirma, by the annual habit, absence of a web on the callus, and the near absence of hooks on the panicle branches and spikelet bracts, in combination with densely pubescent palea keels that lack hooked prickle hairs at the apex. Plants with glabrous florets are sporadically encountered.
Plants perennating by short stolons rooting at the nodes appear to develop repeatedly but sporadically at various elevations with prolonged, cool, mesic growing conditions, possibly in response to trampling. These are sometimes placed in var. reptans. Such plants have been recorded from Yunnan."
Poa annua,"

Tufted annual or short-lived perennial; culms 5-30cm high, erect, spreading or prostrate, sometimes with a creeping base rooting from the nodes, slightly compressed. Leaf-blades flat or folded, 1-14cm long, 1–2(–5)mm wide, flaccid, abruptly tapered to a pointed or bluntly hooded tip, often transversely wrinkled, scaberulous on the margins; ligule blunt, 2–5mm long. Panicle ovate or pyramidal, (1–)3–8(–12)cm long, loose or rather dense; branches paired, spreading or de-flexed after anthesis, smooth. Spikelets with 3–5(-10) closely spaced florets, ovate or oblong, 3–10mm long, pale or bright green, reddish or purplish; glume unequal, the lower lanceolate to ovate, 1.5–3mm long, 1–nerved, the upper elliptic or oblong, 2–4mm long, 3–nerved; lemmas semi-elliptic or oblong in side-view, 2.5–4mm long, blunt, glabrous or sparsely to densely ciliate on the keel and nerves, without any wool at the base; palea nearly as long as the lemma, ciliate all along the keels; anthers 0.6–0.8(–1)mm long.


Annual Meadow-grass is a very common weedy species found in a variety of habitats. 1400-4300m."
Epilobium palustre,"A perennial narrow leaved plant producing filiform hypogeal stolons in summer bearing distant pairs of yellowish scale-lvs and terminating in autumn in a bulbil-like bud with fleshy scales. Stem 15-60 cm, erect from a curved base, simple or branched, terete and without raised lines but often with 2 rows of crisped hairs; subglabrous or downy with short scrisped hairs. Lvs 2-7 x 0.4-1(-1.5) cm, mostly opposite, lanceolate to linear-lanceolate, narrowed to a blunt apex, cuneate at the base, ± sessile or the uppermost very shortly stalked; sometimes limp and somewhat drooping, subglabrous or with crisped heirs on the margins and veins, entire or very obscurely denticulate. Bracts alternate, like the lvs but smaller. Infl a raceme, initially erect, soon drooping so that the top of the raceme hangs over to one side Fls 4-6 mm diam, held almost horizontally; buds blunt. Sepals 4 cm, lanceolate, acute; petals 5-7 mm, pale rose or lilac, rarely white, shortly notched. Stigma entire, shorter than the style.  Fr a capsule, 5-8 mm, downy with short crisped hairs. Seeds 1.6-1.8 mm, ± fusiform but narrowed from above the middle to an acute base, rounded above and with a short beak formed by the projecting inner integument; pale reddish brown, finely and acutely tubercled. "
Epilobium palustre,"Marsh willowherb, épilobe palustre  



Herbs with multiple filiform epigeous stolons with widely spaced, small leaves, terminating in condensed, dark, small turions 3–7 × 2–3 mm. Stems erect, loosely clustered, terete, 5–80 cm, simple to well branched, subglabrous on proximal internodes, sometimes with faint strigillose lines decurrent from margins of petioles, densely strigillose distally. Leaves opposite proximal to inflorescence, alternate distally, subsessile; blade lanceolate or narrowly elliptic to sublinear, 1.5–7 × 0.2–1.9 cm, base cuneate, margins entire or inconspicuously denticulate, 2–6 teeth per side, veins inconspicuous, apex acute or acuminate, surfaces strigillose abaxially, subglabrous adaxially or strig­illose only on margins and veins; bracts smaller and narrower. Inflorescences nodding in bud, later erect, racemes, not branched, densely strigillose, rarely mixed sparsely glandular puberulent. Flowers erect to spreading; buds 2–5 × 1.5–2.5 mm; pedicel 8–12 mm; floral tube 0.6–1.8 × 1.3–2.2 mm, ring of spreading hairs at mouth inside; sepals 1.4–4.5 × 0.8–1.5 mm, abaxial surface strigillose; petals usually white, rarely pink, 2–9 × 1.8–5 mm, obcordate, apical notch 0.6–1.6 mm; filaments cream or white, those of longer stamens 0.8–3.5 mm, those of shorter ones 0.4–2.1 mm; anthers 0.4–1 × 0.3–0.7 mm; ovary 12–35 mm, strigillose; style cream, 1.5–4.5 mm, stigma clavate to cylindrical, entire, 0.8–2 × 0.5–1.4 mm, usually surrounded by, rarely exserted beyond, anthers. Capsules straight or upcurved, 25–90 mm, surfaces strigillose; pedicel 15–35(–60) mm. Seeds elliptic, attenuate to narrowly fusiform, 1.4–2.2 × 0.4–0.5 mm, chalazal collar 0.1–0.25 mm, conspicuous, surface finely papillose; coma persistent, white, 5–7 mm. 2n = 36."
Epilobium palustre,"

Herbs perennial, erect, with filiform stolons terminating in small fleshy turions that leave brown basal scales. Stems (5-)15-70 cm tall, simple or well-branched, strigillose throughout or subglabrous on lower part, rarely with lines decurrent from margins of petioles. Leaves sessile or petioles to 3 mm; cauline blade sublinear to narrowly lanceolate or elliptic, 1.2-7 × 0.3-1.2(-1.9) cm, sparsely strigillose adaxially and on abaxial veins or rarely glabrescent, base rounded or cuneate, margin entire to obscurely denticulate with 5-9 teeth per side, occasionally revolute, apex acute or obtuse. Inflorescence erect or slightly nodding in bud, densely strigillose, sometimes with glandular hairs; flowers erect. Sepals 2.5-4.5 mm. Petals white to pink, 3-7(-9) mm. Stigma clavate to subcylindric, entire. Capsules 3-9 cm, strigillose; pedicels 1-5 cm. Seeds brown, (1.1-)1.3-2.2 mm, finely papillose, with prominent chalazal collar 0.08-0.3 mm; coma dull white or rarely tawny, not easily detaching. Fl. Jun-Aug, fr. Aug-Sep. 2n = 36."
